NACE 2 CODE,Activity Code,Economic Activity,Year,Month,Anastoles-Metapoiisi,Anastoles-Touristiki,Termatismoi-Touristiki,Termatismoi-Alloi,Total
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Νοέμβριος,0,49,5,355,409
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Νοέμβριος,0,5,12,487,504
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Νοέμβριος,0,0,0,41,41
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Νοέμβριος,0,0,0,17,17
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Νοέμβριος,0,0,12,2489,2501
LIM,23,Λιμενεργάτες,2013,Νοέμβριος,0,0,0,17,17
Σύνολο,Σύνολο,Σύνολο,2013,Νοέμβριος,33,2531,3479,26600,32643
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Δεκέμβριος,0,0,0,133,133
B,2,Ορυχεία και λατομεία,2013,Δεκέμβριος,0,0,0,62,62
C,3,Μεταποίηση,2013,Δεκέμβριος,38,0,0,2825,2863
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Δεκέμβριος,0,0,0,44,44
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Δεκέμβριος,0,0,0,12,12
F,6,Κατασκευές,2013,Δεκέμβριος,0,3,17,4123,4143
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Δεκέμβριος,0,230,31,5295,5556
H,8,Μεταφορά και αποθήκευση,2013,Δεκέμβριος,0,49,3,1317,1369
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Δεκέμβριος,0,4037,4300,2835,11172
J,10,Ενημέρωση και επικοινωνία,2013,Δεκέμβριος,0,1,1,431,433
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Δεκέμβριος,0,1,0,2017,2018
L,12,Διαχείριση ακίνητης περιουσίας,2013,Δεκέμβριος,0,15,8,174,197
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Δεκέμβριος,0,3,0,1170,1173
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Δεκέμβριος,0,68,11,706,785
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Δεκέμβριος,0,14,0,2280,2294
P,16,Εκπαίδευση,2013,Δεκέμβριος,0,11,1,535,547
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Δεκέμβριος,0,0,1,389,390
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Δεκέμβριος,0,59,8,348,415
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Δεκέμβριος,0,15,12,514,541
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Δεκέμβριος,0,0,0,38,38
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Δεκέμβριος,0,0,0,16,16
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Δεκέμβριος,0,1,16,2480,2497
LIM,23,Λιμενεργάτες,2013,Δεκέμβριος,0,0,0,18,18
Σύνολο,Σύνολο,Σύνολο,2013,Δεκέμβριος,38,4507,4409,27762,36716
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Ιανουάριος,0,1,0,136,137
B,2,Ορυχεία και λατομεία,2014,Ιανουάριος,0,0,0,60,60
C,3,Μεταποίηση,2014,Ιανουάριος,61,0,1,2795,2857
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Ιανουάριος,0,0,0,51,51
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Ιανουάριος,0,0,0,17,17
F,6,Κατασκευές,2014,Ιανουάριος,0,4,19,4035,4058
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Ιανουάριος,0,251,30,5226,5507
H,8,Μεταφορά και αποθήκευση,2014,Ιανουάριος,0,50,3,1360,1413
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Ιανουάριος,0,4801,4321,3108,12230
J,10,Ενημέρωση και επικοινωνία,2014,Ιανουάριος,0,1,1,419,421
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Ιανουάριος,0,1,0,1983,1984
L,12,Διαχείριση ακίνητης περιουσίας,2014,Ιανουάριος,0,14,10,194,218
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Ιανουάριος,0,3,0,1133,1136
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Ιανουάριος,0,67,9,734,810
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Ιανουάριος,0,14,0,2824,2838
P,16,Εκπαίδευση,2014,Ιανουάριος,0,10,1,519,530
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Ιανουάριος,0,0,1,389,390
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Ιανουάριος,0,68,7,360,435
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Ιανουάριος,0,29,14,541,584
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Ιανουάριος,0,0,0,45,45
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Ιανουάριος,0,0,0,17,17
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Ιανουάριος,0,14,24,2550,2588
LIM,23,Λιμενεργάτες,2014,Ιανουάριος,0,0,0,7,7
Σύνολο,Σύνολο,Σύνολο,2014,Ιανουάριος,61,5328,4441,28503,38333
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Φεβρουάριος,0,1,0,127,128
B,2,Ορυχεία και λατομεία,2014,Φεβρουάριος,0,0,0,51,51
C,3,Μεταποίηση,2014,Φεβρουάριος,69,0,1,2681,2751
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Φεβρουάριος,0,0,0,48,48
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Φεβρουάριος,0,0,0,15,15
F,6,Κατασκευές,2014,Φεβρουάριος,0,4,19,3761,3784
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Φεβρουάριος,0,250,28,4990,5268
H,8,Μεταφορά και αποθήκευση,2014,Φεβρουάριος,0,45,4,1333,1382
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Φεβρουάριος,0,4666,4178,3086,11930
J,10,Ενημέρωση και επικοινωνία,2014,Φεβρουάριος,0,1,1,393,395
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Φεβρουάριος,0,1,0,1895,1896
L,12,Διαχείριση ακίνητης περιουσίας,2014,Φεβρουάριος,0,14,11,206,231
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Φεβρουάριος,0,2,0,1059,1061
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Φεβρουάριος,0,68,9,679,756
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Φεβρουάριος,0,14,0,2734,2748
P,16,Εκπαίδευση,2014,Φεβρουάριος,0,11,1,461,473
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Φεβρουάριος,0,0,1,367,368
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Φεβρουάριος,0,63,7,346,416
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Φεβρουάριος,0,40,13,515,568
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Φεβρουάριος,0,0,0,35,35
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Φεβρουάριος,0,0,0,15,15
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Φεβρουάριος,0,20,25,2520,2565
LIM,23,Λιμενεργάτες,2014,Φεβρουάριος,0,0,0,17,17
Σύνολο,Σύνολο,Σύνολο,2014,Φεβρουάριος,69,5200,4298,27334,36901
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Μάρτιος,0,1,0,130,131
B,2,Ορυχεία και λατομεία,2014,Μάρτιος,0,0,0,49,49
C,3,Μεταποίηση,2014,Μάρτιος,43,0,1,2577,2621
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Μάρτιος,0,0,0,50,50
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Μάρτιος,0,0,0,10,10
F,6,Κατασκευές,2014,Μάρτιος,0,5,19,3600,3624
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Μάρτιος,0,235,25,4830,5090
H,8,Μεταφορά και αποθήκευση,2014,Μάρτιος,0,44,4,1257,1305
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Μάρτιος,0,3936,3990,2996,10922
J,10,Ενημέρωση και επικοινωνία,2014,Μάρτιος,0,1,2,383,386
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Μάρτιος,0,1,0,1827,1828
L,12,Διαχείριση ακίνητης περιουσίας,2014,Μάρτιος,0,5,10,167,182
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Μάρτιος,0,2,0,994,996
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Μάρτιος,0,64,8,640,712
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Μάρτιος,0,14,0,2733,2747
P,16,Εκπαίδευση,2014,Μάρτιος,0,10,0,425,435
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Μάρτιος,0,0,1,347,348
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Μάρτιος,0,61,6,338,405
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Μάρτιος,0,29,12,498,539
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Μάρτιος,0,0,0,34,34
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Μάρτιος,0,0,0,16,16
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Μάρτιος,0,17,24,2532,2573
LIM,23,Λιμενεργάτες,2014,Μάρτιος,0,0,0,13,13
Σύνολο,Σύνολο,Σύνολο,2014,Μάρτιος,43,4425,4102,26446,35016
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Απρίλιος,0,1,0,125,126
B,2,Ορυχεία και λατομεία,2014,Απρίλιος,0,0,0,51,51
C,3,Μεταποίηση,2014,Απρίλιος,15,0,0,2430,2445
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Απρίλιος,0,0,0,51,51
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Απρίλιος,0,0,0,11,11
F,6,Κατασκευές,2014,Απρίλιος,0,2,24,3430,3456
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Απρίλιος,0,2,23,4628,4653
H,8,Μεταφορά και αποθήκευση,2014,Απρίλιος,0,3,3,1117,1123
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Απρίλιος,0,34,3095,2606,5735
J,10,Ενημέρωση και επικοινωνία,2014,Απρίλιος,0,0,2,369,371
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Απρίλιος,0,0,0,1710,1710
L,12,Διαχείριση ακίνητης περιουσίας,2014,Απρίλιος,0,1,8,128,137
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Απρίλιος,0,0,0,958,958
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Απρίλιος,0,0,6,579,585
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Απρίλιος,0,0,0,2773,2773
P,16,Εκπαίδευση,2014,Απρίλιος,0,0,0,416,416
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Απρίλιος,0,0,1,334,335
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Απρίλιος,0,1,5,316,322
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Απρίλιος,0,0,8,467,475
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Απρίλιος,0,0,0,32,32
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Απρίλιος,0,0,0,14,14
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Απρίλιος,0,2,12,2415,2429
LIM,23,Λιμενεργάτες,2014,Απρίλιος,0,0,0,10,10
Σύνολο,Σύνολο,Σύνολο,2014,Απρίλιος,15,46,3187,24970,28218
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Μάιος,0,1,0,113,114
B,2,Ορυχεία και λατομεία,2014,Μάιος,0,0,0,54,54
C,3,Μεταποίηση,2014,Μάιος,21,0,0,2213,2234
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Μάιος,0,0,0,52,52
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Μάιος,0,0,0,10,10
F,6,Κατασκευές,2014,Μάιος,0,2,16,3232,3250
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Μάιος,0,12,11,4175,4198
H,8,Μεταφορά και αποθήκευση,2014,Μάιος,0,3,2,831,836
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Μάιος,0,3,1043,1655,2701
J,10,Ενημέρωση και επικοινωνία,2014,Μάιος,0,0,2,363,365
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Μάιος,0,0,0,1739,1739
L,12,Διαχείριση ακίνητης περιουσίας,2014,Μάιος,0,1,5,127,133
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Μάιος,0,0,0,919,919
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Μάιος,0,0,2,422,424
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Μάιος,0,0,0,2419,2419
P,16,Εκπαίδευση,2014,Μάιος,0,0,0,492,492
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Μάιος,0,0,0,296,296
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Μάιος,0,0,2,257,259
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Μάιος,0,0,5,394,399
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Μάιος,0,0,0,34,34
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Μάιος,0,0,0,12,12
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Μάιος,0,3,7,2373,2383
LIM,23,Λιμενεργάτες,2014,Μάιος,0,0,0,12,12
Σύνολο,Σύνολο,Σύνολο,2014,Μάιος,21,25,1095,22194,23335
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Ιούνιος,0,1,0,128,129
B,2,Ορυχεία και λατομεία,2014,Ιούνιος,0,0,0,44,44
C,3,Μεταποίηση,2014,Ιούνιος,1,0,0,1974,1975
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Ιούνιος,0,0,0,53,53
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Ιούνιος,0,0,0,11,11
F,6,Κατασκευές,2014,Ιούνιος,0,2,15,3057,3074
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Ιούνιος,0,17,4,3826,3847
H,8,Μεταφορά και αποθήκευση,2014,Ιούνιος,0,0,1,769,770
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Ιούνιος,0,1,491,1412,1904
J,10,Ενημέρωση και επικοινωνία,2014,Ιούνιος,0,0,2,364,366
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Ιούνιος,0,0,0,1611,1611
L,12,Διαχείριση ακίνητης περιουσίας,2014,Ιούνιος,0,1,7,120,128
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Ιούνιος,0,0,0,869,869
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Ιούνιος,0,0,2,359,361
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Ιούνιος,0,0,0,2183,2183
P,16,Εκπαίδευση,2014,Ιούνιος,0,0,0,1363,1363
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Ιούνιος,0,0,0,292,292
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Ιούνιος,0,0,0,248,248
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Ιούνιος,0,0,2,461,463
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Ιούνιος,0,0,0,35,35
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Ιούνιος,0,0,0,12,12
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Ιούνιος,0,0,5,3203,3208
LIM,23,Λιμενεργάτες,2014,Ιούνιος,0,0,0,12,12
Σύνολο,Σύνολο,Σύνολο,2014,Ιούνιος,1,22,529,22406,22958
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Ιούλιος,0,1,0,132,133
B,2,Ορυχεία και λατομεία,2014,Ιούλιος,0,0,0,38,38
C,3,Μεταποίηση,2014,Ιούλιος,1,0,0,1827,1828
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Ιούλιος,0,0,0,45,45
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Ιούλιος,0,0,0,8,8
F,6,Κατασκευές,2014,Ιούλιος,0,2,13,2776,2791
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Ιούλιος,0,16,4,3494,3514
H,8,Μεταφορά και αποθήκευση,2014,Ιούλιος,0,0,0,704,704
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Ιούλιος,0,1,349,1369,1719
J,10,Ενημέρωση και επικοινωνία,2014,Ιούλιος,0,0,2,459,461
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Ιούλιος,0,0,0,1519,1519
L,12,Διαχείριση ακίνητης περιουσίας,2014,Ιούλιος,0,0,7,109,116
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Ιούλιος,0,0,0,785,785
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Ιούλιος,0,0,2,347,349
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Ιούλιος,0,0,0,2015,2015
P,16,Εκπαίδευση,2014,Ιούλιος,0,0,0,2273,2273
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Ιούλιος,0,0,0,295,295
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Ιούλιος,0,0,0,257,257
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Ιούλιος,0,0,2,518,520
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Ιούλιος,0,0,0,39,39
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Ιούλιος,0,0,0,14,14
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Ιούλιος,0,0,3,3155,3158
LIM,23,Λιμενεργάτες,2014,Ιούλιος,0,0,0,9,9
Σύνολο,Σύνολο,Σύνολο,2014,Ιούλιος,1,20,382,22187,22590
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Αύγουστος,0,0,0,128,128
B,2,Ορυχεία και λατομεία,2014,Αύγουστος,0,0,0,32,32
C,3,Μεταποίηση,2014,Αύγουστος,0,0,0,1676,1676
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Αύγουστος,0,0,0,39,39
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Αύγουστος,0,0,0,12,12
F,6,Κατασκευές,2014,Αύγουστος,0,2,15,2481,2498
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Αύγουστος,0,6,3,3211,3220
H,8,Μεταφορά και αποθήκευση,2014,Αύγουστος,0,0,0,677,677
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Αύγουστος,0,1,279,1311,1591
J,10,Ενημέρωση και επικοινωνία,2014,Αύγουστος,0,0,1,442,443
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Αύγουστος,0,0,0,1454,1454
L,12,Διαχείριση ακίνητης περιουσίας,2014,Αύγουστος,0,0,7,101,108
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Αύγουστος,0,0,0,728,728
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Αύγουστος,0,0,2,337,339
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Αύγουστος,0,0,0,2017,2017
P,16,Εκπαίδευση,2014,Αύγουστος,0,0,0,2316,2316
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Αύγουστος,0,0,0,302,302
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Αύγουστος,0,0,0,237,237
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Αύγουστος,0,0,2,491,493
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Αύγουστος,0,0,0,35,35
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Αύγουστος,0,0,0,19,19
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Αύγουστος,0,0,4,3048,3052
LIM,23,Λιμενεργάτες,2014,Αύγουστος,0,0,0,16,16
Σύνολο,Σύνολο,Σύνολο,2014,Αύγουστος,0,9,313,21110,21432
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Σεπτέμβριος,0,0,0,135,135
B,2,Ορυχεία και λατομεία,2014,Σεπτέμβριος,0,0,0,27,27
C,3,Μεταποίηση,2014,Σεπτέμβριος,0,0,1,1710,1711
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Σεπτέμβριος,0,0,0,34,34
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Σεπτέμβριος,0,0,0,13,13
F,6,Κατασκευές,2014,Σεπτέμβριος,0,2,14,2429,2445
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Σεπτέμβριος,0,6,2,3252,3260
H,8,Μεταφορά και αποθήκευση,2014,Σεπτέμβριος,0,0,0,691,691
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Σεπτέμβριος,0,1,375,1421,1797
J,10,Ενημέρωση και επικοινωνία,2014,Σεπτέμβριος,0,0,1,437,438
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Σεπτέμβριος,0,0,0,1391,1391
L,12,Διαχείριση ακίνητης περιουσίας,2014,Σεπτέμβριος,0,0,7,89,96
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2014,Σεπτέμβριος,0,0,0,734,734
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2014,Σεπτέμβριος,0,0,2,367,369
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2014,Σεπτέμβριος,0,0,0,1989,1989
P,16,Εκπαίδευση,2014,Σεπτέμβριος,0,0,0,2198,2198
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2014,Σεπτέμβριος,0,0,0,315,315
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2014,Σεπτέμβριος,0,0,0,236,236
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2014,Σεπτέμβριος,0,0,3,492,495
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2014,Σεπτέμβριος,0,0,0,38,38
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2014,Σεπτέμβριος,0,0,0,17,17
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2014,Σεπτέμβριος,0,0,5,3061,3066
LIM,23,Λιμενεργάτες,2014,Σεπτέμβριος,0,0,0,5,5
Σύνολο,Σύνολο,Σύνολο,2014,Σεπτέμβριος,0,9,410,21081,21500
A,1,"Γεωργία, δασοκομία και αλιεία",2014,Οκτώβριος,0,0,0,132,132
B,2,Ορυχεία και λατομεία,2014,Οκτώβριος,0,0,0,26,26
C,3,Μεταποίηση,2014,Οκτώβριος,9,0,1,1663,1673
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2014,Οκτώβριος,0,0,0,26,26
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2014,Οκτώβριος,0,0,0,12,12
F,6,Κατασκευές,2014,Οκτώβριος,0,2,13,2290,2305
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2014,Οκτώβριος,0,5,4,3184,3193
H,8,Μεταφορά και αποθήκευση,2014,Οκτώβριος,0,0,1,600,601
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2014,Οκτώβριος,0,2,638,1520,2160
J,10,Ενημέρωση και επικοινωνία,2014,Οκτώβριος,0,0,1,456,457
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2014,Οκτώβριος,0,0,0,1031,1031
L,12,Διαχείριση ακίνητης περιουσίας,2014,Οκτώβριος,0,0,8,92,100
